TTCHIC20,ASORKI61
ENOLAH20,HBRADB00
MRGSTY19,NBAUMB69
UNCUTG19,JBSAFD84
GWHUNT97,GVANSA52
DIEHAR88,JMCTIE51
SWFORC15,JJABRA66
SWFORC17,RJOHNS73
ENDGAM19,AJRUSS70
INFWAR18,AJRUSS70
CITKAN41,OWELLE15
JJRABB19,TWAITI75
