NFLX,Netflix,8.99,30
HULU,Hulu,5.99,30
DISN,Disney+,6.99,0
APPL,Apple TV+,4.99,7
PEAC,Peacock,0,7
AZPV,Amazon Prime Video,8.99,7
HBOM,HBO Max,14.99,7
CBSA,CBS All Access,5.99,7
