HOLLWD20,DCOREN93
ALTCBN18,CKINNA79
FRAMAN19,CKINNA79
ALTCBN18,RGOLDS71
DTEZEF20,ZEFFRO87
MONHEI17,UDELGA89
WACONF18,MSHANN74
NHIENF20,MRAMAK01
WARNUN20,ABAPTI97
RVRDAL17,LREINH96
THEORD19,JMANLE91
SWTMAG20,JGARCI79
FLRLAV20,RUWOOD80
DEDTME19,CAPPLE71
PRKREC09,NOFFER70
